1686505421.515073 server started (67619): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1686505421.515100 on Linux 6.3.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Mon, 05 Jun 2023 15:12:57 +0000
1686505421.515108 using libevent 2.1.12-stable (poll); ncurses 6.4
1686505421.515187 input_key_build: 0x10e003 (PasteStart) is \033[200~
1686505421.515192 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1686505421.515197 input_key_build: 0x10e195 (F1) is \033OP
1686505421.515202 input_key_build: 0x10e196 (F2) is \033OQ
1686505421.515206 input_key_build: 0x10e197 (F3) is \033OR
1686505421.515210 input_key_build: 0x10e198 (F4) is \033OS
1686505421.515214 input_key_build: 0x10e199 (F5) is \033[15~
1686505421.515217 input_key_build: 0x10e19a (F6) is \033[17~
1686505421.515221 input_key_build: 0x10e19b (F7) is \033[18~
1686505421.515225 input_key_build: 0x10e19c (F8) is \033[19~
1686505421.515228 input_key_build: 0x10e19d (F9) is \033[20~
1686505421.515232 input_key_build: 0x10e19e (F10) is \033[21~
1686505421.515236 input_key_build: 0x10e19f (F11) is \033[23~
1686505421.515240 input_key_build: 0x10e1a0 (F12) is \033[24~
1686505421.515244 input_key_build: 0x10e1a1 (IC) is \033[2~
1686505421.515248 input_key_build: 0x10e1a2 (DC) is \033[3~
1686505421.515252 input_key_build: 0x10e1a3 (Home) is \033[1~
1686505421.515255 input_key_build: 0x10e1a4 (End) is \033[4~
1686505421.515259 input_key_build: 0x10e1a5 (NPage) is \033[6~
1686505421.515263 input_key_build: 0x10e1a6 (PPage) is \033[5~
1686505421.515267 input_key_build: 0x10e1a7 (BTab) is \033[Z
1686505421.515271 input_key_build: 0x10e1a8 (Up) is \033[A
1686505421.515275 input_key_build: 0x10e1a9 (Down) is \033[B
1686505421.515278 input_key_build: 0x10e1aa (Left) is \033[D
1686505421.515282 input_key_build: 0x10e1ab (Right) is \033[C
1686505421.515286 input_key_build: 0x10e1ac (KP/) is /
1686505421.515290 input_key_build: 0x10e1ad (KP*) is *
1686505421.515293 input_key_build: 0x10e1ae (KP-) is -
1686505421.515297 input_key_build: 0x10e1af (KP7) is 7
1686505421.515301 input_key_build: 0x10e1b0 (KP8) is 8
1686505421.515305 input_key_build: 0x10e1b1 (KP9) is 9
1686505421.515309 input_key_build: 0x10e1b2 (KP+) is +
1686505421.515313 input_key_build: 0x10e1b3 (KP4) is 4
1686505421.515316 input_key_build: 0x10e1b4 (KP5) is 5
1686505421.515320 input_key_build: 0x10e1b5 (KP6) is 6
1686505421.515326 input_key_build: 0x10e1b6 (KP1) is 1
1686505421.515330 input_key_build: 0x10e1b7 (KP2) is 2
1686505421.515334 input_key_build: 0x10e1b8 (KP3) is 3
1686505421.515337 input_key_build: 0x10e1b9 (KPEnter) is \n
1686505421.515341 input_key_build: 0x10e1ba (KP0) is 0
1686505421.515345 input_key_build: 0x10e1bb (KP.) is .
1686505421.515349 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1686505421.515353 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1686505421.515357 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1686505421.515363 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1686505421.515367 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1686505421.515371 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1686505421.515375 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1686505421.515379 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1686505421.515383 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1686505421.515386 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1686505421.515390 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1686505421.515394 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1686505421.515398 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1686505421.515402 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1686505421.515406 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1686505421.515409 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1686505421.515413 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1686505421.515417 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1686505421.515420 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1686505421.515424 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1686505421.515434 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1686505421.515438 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1686505421.515442 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1686505421.515445 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1686505421.515449 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1686505421.515453 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1686505421.515457 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1686505421.515460 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1686505421.515465 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1686505421.515469 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1686505421.515473 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1686505421.515477 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1686505421.515481 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1686505421.515484 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1686505421.515488 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1686505421.515492 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1686505421.515496 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
